"District","Year","Grade","grade","DisCode","Subject","ME_n","ME_per","E_n","E_per","M_n","M_per","PM_n","PM_per","NM_n","NM_per","n_included","mean_SS","SGP","n_included_SGP"
"Oak Bluffs",2019,4,"Grade 4","02210000","MATH",29,64,2,4,27,60,14,31,2,4,45,506.3,61.6,40
"Old Sturbridge Academy Charter Public School (District)",2019,4,"Grade 4","35150000","ELA",25,63,6,15,19,48,13,33,2,5,40,509.5,61.1,37
"Old Sturbridge Academy Charter Public School (District)",2019,4,"Grade 4","35150000","MATH",18,45,1,3,17,43,20,50,2,5,40,498.1,52.2,37
"Orange",2019,4,"Grade 4","02230000","ELA",12,19,1,2,11,17,38,59,14,22,64,486.7,35.2,58
"Orange",2019,4,"Grade 4","02230000","MATH",15,23,0,0,15,23,36,56,13,20,64,485.7,43.2,58
"Orleans",2019,4,"Grade 4","02240000","ELA",25,83,9,30,16,53,4,13,1,3,30,520.2,64,26
"Orleans",2019,4,"Grade 4","02240000","MATH",25,83,5,17,20,67,4,13,1,3,30,516.5,53.7,26
"Oxford",2019,4,"Grade 4","02260000","ELA",52,40,3,2,49,38,68,53,9,7,129,495.4,40.5,120
"Oxford",2019,4,"Grade 4","02260000","MATH",45,35,3,2,42,33,65,51,18,14,128,491.7,42.3,119
"Palmer",2019,4,"Grade 4","02270000","ELA",36,40,6,7,30,33,44,49,10,11,90,497.8,41.1,84
"Palmer",2019,4,"Grade 4","02270000","MATH",26,29,2,2,24,26,49,54,16,18,91,487.9,30.5,84
"Peabody",2019,4,"Grade 4","02290000","ELA",209,44,15,3,194,41,224,47,44,9,477,497.3,44.6,442
"Peabody",2019,4,"Grade 4","02290000","MATH",200,42,17,4,183,38,216,45,61,13,477,495.2,43.6,442
"Pelham",2019,4,"Grade 4","02300000","ELA",11,65,0,0,11,65,4,24,2,12,17,502.3,NA,17
"Pelham",2019,4,"Grade 4","02300000","MATH",5,29,0,0,5,29,10,59,2,12,17,492.4,NA,17
"Pembroke",2019,4,"Grade 4","02310000","ELA",121,57,16,7,105,49,85,40,8,4,214,502.4,45.9,207
"Pembroke",2019,4,"Grade 4","02310000","MATH",109,51,14,7,95,44,95,44,10,5,214,501.7,45.9,207
"Pentucket",2019,4,"Grade 4","07450000","ELA",102,58,10,6,92,52,64,36,10,6,176,503,47.1,170
"Pentucket",2019,4,"Grade 4","07450000","MATH",92,52,15,9,77,44,73,41,11,6,176,502.7,59.6,170
"Petersham",2019,4,"Grade 4","02340000","ELA",9,47,3,16,6,32,7,37,3,16,19,501.3,NA,18
"Petersham",2019,4,"Grade 4","02340000","MATH",6,32,1,5,5,26,9,47,4,21,19,490.4,NA,18
"Pioneer Charter School of Science (District)",2019,4,"Grade 4","04940000","ELA",35,54,3,5,32,49,29,45,1,2,65,503.5,42.8,65
"Pioneer Charter School of Science (District)",2019,4,"Grade 4","04940000","MATH",34,52,3,5,31,48,30,46,1,2,65,502.9,35.4,65
"Pioneer Valley",2019,4,"Grade 4","07500000","ELA",36,57,8,13,28,44,24,38,3,5,63,503.4,55.5,62
"Pioneer Valley",2019,4,"Grade 4","07500000","MATH",28,44,1,2,27,43,30,48,5,8,63,496.4,54.4,62
"Pioneer Valley Chinese Immersion Charter (District)",2019,4,"Grade 4","04970000","ELA",31,67,9,20,22,48,15,33,0,0,46,512.3,71.7,44
"Pioneer Valley Chinese Immersion Charter (District)",2019,4,"Grade 4","04970000","MATH",28,61,5,11,23,50,17,37,1,2,46,508,69,45
"Pittsfield",2019,4,"Grade 4","02360000","ELA",190,43,14,3,176,40,213,48,39,9,442,497.3,47.6,404
"Pittsfield",2019,4,"Grade 4","02360000","MATH",132,30,17,4,115,26,231,52,81,18,444,491,42.7,405
"Plainville",2019,4,"Grade 4","02380000","ELA",38,45,5,6,33,39,45,54,1,1,84,501.7,49.4,81
"Plainville",2019,4,"Grade 4","02380000","MATH",40,48,5,6,35,42,37,44,7,8,84,497.9,45.6,81
"Plymouth",2019,4,"Grade 4","02390000","ELA",303,53,37,7,266,47,224,39,42,7,569,501.4,48.7,545
"Plymouth",2019,4,"Grade 4","02390000","MATH",265,47,29,5,236,42,251,44,52,9,568,498.2,48.2,543
"Plympton",2019,4,"Grade 4","02400000","ELA",15,68,2,9,13,59,6,27,1,5,22,509.6,59.8,22
"Plympton",2019,4,"Grade 4","02400000","MATH",13,59,1,5,12,55,8,36,1,5,22,500.8,46.1,22
"Prospect Hill Academy Charter (District)",2019,4,"Grade 4","04870000","ELA",31,33,2,2,29,31,53,56,10,11,94,493.4,37.5,85
"Prospect Hill Academy Charter (District)",2019,4,"Grade 4","04870000","MATH",30,32,6,6,24,26,53,56,11,12,94,493.5,40.7,85
"Provincetown",2019,4,"Grade 4","02420000","ELA",7,58,0,0,7,58,5,42,0,0,12,500.3,NA,11
"Provincetown",2019,4,"Grade 4","02420000","MATH",3,23,0,0,3,23,10,77,0,0,13,492.1,NA,12
"Quabbin",2019,4,"Grade 4","07530000","ELA",97,55,16,9,81,46,68,39,11,6,176,503.9,56.4,162
"Quabbin",2019,4,"Grade 4","07530000","MATH",93,53,16,9,77,44,65,37,19,11,177,501.6,69.8,163
"Quaboag Regional",2019,4,"Grade 4","07780000","ELA",52,45,4,3,48,41,50,43,14,12,116,495.8,42.8,112
"Quaboag Regional",2019,4,"Grade 4","07780000","MATH",61,53,8,7,53,46,49,42,6,5,116,501.7,56.1,112
"Quincy",2019,4,"Grade 4","02430000","ELA",409,60,101,15,308,45,231,34,40,6,680,508.2,56.4,611
"Quincy",2019,4,"Grade 4","02430000","MATH",355,52,49,7,306,45,257,38,67,10,679,501,49.3,611
"Randolph",2019,4,"Grade 4","02440000","ELA",105,42,7,3,98,39,119,47,29,11,253,496.5,44,220
"Randolph",2019,4,"Grade 4","02440000","MATH",108,43,12,5,96,38,102,40,42,17,252,495.4,47.2,222
"Reading",2019,4,"Grade 4","02460000","ELA",202,62,37,11,165,51,110,34,14,4,326,506.3,48.5,318
"Reading",2019,4,"Grade 4","02460000","MATH",193,59,24,7,169,52,121,37,13,4,327,504.4,52.1,318
"Revere",2019,4,"Grade 4","02480000","ELA",264,50,35,7,229,43,223,42,46,9,533,499.5,47.8,490
"Revere",2019,4,"Grade 4","02480000","MATH",269,51,29,5,240,45,201,38,62,12,532,498.4,46.3,488
"Richmond",2019,4,"Grade 4","02490000","ELA",13,65,1,5,12,60,7,35,0,0,20,504.3,NA,18
"Richmond",2019,4,"Grade 4","02490000","MATH",8,40,2,10,6,30,9,45,3,15,20,497.6,NA,18
"River Valley Charter (District)",2019,4,"Grade 4","04820000","ELA",16,47,0,0,16,47,15,44,3,9,34,496.8,39.4,34
"River Valley Charter (District)",2019,4,"Grade 4","04820000","MATH",16,47,1,3,15,44,16,47,2,6,34,495.6,46.9,34
"Rochester",2019,4,"Grade 4","02500000","ELA",37,55,2,3,35,52,27,40,3,4,67,502.2,49.1,65
"Rochester",2019,4,"Grade 4","02500000","MATH",32,48,3,4,29,43,33,49,2,3,67,499.8,52.9,65
"Rockland",2019,4,"Grade 4","02510000","ELA",97,52,12,6,85,46,72,39,17,9,186,501.6,56.4,167
"Rockland",2019,4,"Grade 4","02510000","MATH",97,52,18,10,79,42,66,35,23,12,186,501.9,60.3,165
"Rockport",2019,4,"Grade 4","02520000","ELA",32,52,3,5,29,48,27,44,2,3,61,502.8,44,56
"Rockport",2019,4,"Grade 4","02520000","MATH",31,51,6,10,25,41,26,43,4,7,61,501.4,41.2,57
"Rowe",2019,4,"Grade 4","02530000","ELA",6,60,0,0,6,60,3,30,1,10,10,497.4,NA,7
"Rowe",2019,4,"Grade 4","02530000","MATH",5,50,0,0,5,50,4,40,1,10,10,492.1,NA,7
"Salem",2019,4,"Grade 4","02580000","ELA",121,39,15,5,106,35,145,47,41,13,307,495.2,50.7,273
"Salem",2019,4,"Grade 4","02580000","MATH",108,36,10,3,98,32,131,43,65,21,304,490.5,51.2,269
"Sandwich",2019,4,"Grade 4","02610000","ELA",100,52,5,3,95,49,75,39,18,9,193,499.3,41.3,179
"Sandwich",2019,4,"Grade 4","02610000","MATH",84,44,9,5,75,39,90,47,17,9,191,498.6,47.3,177
"Saugus",2019,4,"Grade 4","02620000","ELA",103,55,19,10,84,45,72,39,11,6,186,505.2,53.7,172
"Saugus",2019,4,"Grade 4","02620000","MATH",80,43,10,5,70,38,81,44,25,13,186,497.5,40.3,170
"Savoy",2019,4,"Grade 4","02630000","ELA",4,36,0,0,4,36,6,55,1,9,11,492.2,NA,10
"Savoy",2019,4,"Grade 4","02630000","MATH",0,0,0,0,0,0,10,91,1,9,11,486.8,NA,10
"Scituate",2019,4,"Grade 4","02640000","ELA",166,76,51,23,115,53,48,22,5,2,219,515.2,60.3,212
"Scituate",2019,4,"Grade 4","02640000","MATH",167,77,36,17,131,60,41,19,9,4,217,512.6,64,210
"Seekonk",2019,4,"Grade 4","02650000","ELA",95,64,23,15,72,48,45,30,9,6,149,508,61.6,143
"Seekonk",2019,4,"Grade 4","02650000","MATH",103,69,30,20,73,49,38,25,9,6,150,510.5,67.4,144
"Sharon",2019,4,"Grade 4","02660000","ELA",204,74,67,24,137,50,68,25,4,1,276,515.5,54.7,262
"Sharon",2019,4,"Grade 4","02660000","MATH",203,74,70,25,133,48,64,23,9,3,276,515.8,53.5,262
"Sherborn",2019,4,"Grade 4","02690000","ELA",44,68,7,11,37,57,20,31,1,2,65,510.1,45.5,63
"Sherborn",2019,4,"Grade 4","02690000","MATH",52,80,12,18,40,62,12,18,1,2,65,513.4,55.4,63
"Shrewsbury",2019,4,"Grade 4","02710000","ELA",366,76,104,21,262,54,97,20,21,4,484,514.2,56.1,442
"Shrewsbury",2019,4,"Grade 4","02710000","MATH",384,79,135,28,249,51,76,16,25,5,485,516.5,63.6,447
"Shutesbury",2019,4,"Grade 4","02720000","ELA",12,57,3,14,9,43,9,43,0,0,21,507.2,62.3,20
"Shutesbury",2019,4,"Grade 4","02720000","MATH",10,48,1,5,9,43,9,43,2,10,21,498,49.5,20
"Somerset",2019,4,"Grade 4","02730000","ELA",92,50,9,5,83,45,75,41,16,9,183,499.7,43,172
"Somerset",2019,4,"Grade 4","02730000","MATH",95,52,10,5,85,47,69,38,18,10,182,500.1,56.1,171
"Somerville",2019,4,"Grade 4","02740000","ELA",162,45,28,8,134,37,139,38,61,17,362,496.7,46.5,336
"Somerville",2019,4,"Grade 4","02740000","MATH",156,43,29,8,127,35,124,34,84,23,364,494.4,50.2,339
"South Hadley",2019,4,"Grade 4","02780000","ELA",80,56,13,9,67,47,48,34,15,10,143,502.3,51,132
"South Hadley",2019,4,"Grade 4","02780000","MATH",76,54,8,6,68,49,49,35,15,11,140,502.4,49.7,131
"South Shore Charter Public (District)",2019,4,"Grade 4","04880000","ELA",30,48,3,5,27,43,28,44,5,8,63,499.9,48.7,59
"South Shore Charter Public (District)",2019,4,"Grade 4","04880000","MATH",23,37,1,2,22,35,32,51,8,13,63,493.7,47.7,59
"Southampton",2019,4,"Grade 4","02750000","ELA",21,36,1,2,20,34,34,58,4,7,59,495.4,34.5,56
"Southampton",2019,4,"Grade 4","02750000","MATH",15,25,1,2,14,24,34,58,10,17,59,488.6,30.6,56
"Southborough",2019,4,"Grade 4","02760000","ELA",103,80,31,24,72,56,24,19,1,1,128,516.7,52.5,125
"Southborough",2019,4,"Grade 4","02760000","MATH",108,84,36,28,72,56,19,15,2,2,129,518.1,48.8,125
"Southbridge",2019,4,"Grade 4","02770000","ELA",47,34,2,1,45,32,53,38,40,29,140,487.9,48.8,126
"Southbridge",2019,4,"Grade 4","02770000","MATH",27,19,0,0,27,19,67,48,46,33,140,481,41.4,127
"Southern Berkshire",2019,4,"Grade 4","07650000","ELA",20,44,1,2,19,42,20,44,5,11,45,495.3,43.7,43
"Southern Berkshire",2019,4,"Grade 4","07650000","MATH",20,45,2,5,18,41,21,48,3,7,44,496.7,59.5,42
"Southwick-Tolland-Granville Regional School District",2019,4,"Grade 4","07660000","ELA",47,39,5,4,42,35,64,53,10,8,121,496.3,43.3,116
"Southwick-Tolland-Granville Regional School District",2019,4,"Grade 4","07660000","MATH",33,27,1,1,32,26,70,58,18,15,121,489.9,31,116
"Spencer-E Brookfield",2019,4,"Grade 4","07670000","ELA",43,39,4,4,39,35,55,50,13,12,111,494.3,46,104
"Spencer-E Brookfield",2019,4,"Grade 4","07670000","MATH",32,29,1,1,31,28,60,54,19,17,111,490.1,51.5,105
"Springfield",2019,4,"Grade 4","02810000","ELA",632,33,58,3,574,30,999,52,305,16,NA,492.8,44.3,NA
"Springfield",2019,4,"Grade 4","02810000","MATH",528,27,32,2,496,26,971,50,443,23,NA,487,41.4,NA
"Springfield International Charter (District)",2019,4,"Grade 4","04410000","ELA",65,40,4,2,61,38,90,56,7,4,162,497.1,47.6,156
"Springfield International Charter (District)",2019,4,"Grade 4","04410000","MATH",29,18,2,1,27,17,106,66,25,16,160,485,40.3,156
"Springfield Preparatory Charter School (District)",2019,4,"Grade 4","35100000","ELA",41,77,11,21,30,57,11,21,1,2,53,517.3,66.7,50
"Springfield Preparatory Charter School (District)",2019,4,"Grade 4","35100000","MATH",42,79,12,23,30,57,10,19,1,2,53,516.5,67.5,50
"Stoneham",2019,4,"Grade 4","02840000","ELA",110,64,24,14,86,50,52,30,9,5,171,507.3,55.5,160
"Stoneham",2019,4,"Grade 4","02840000","MATH",99,58,11,6,88,51,62,36,10,6,171,503.1,53.7,160
"Stoughton",2019,4,"Grade 4","02850000","ELA",135,54,30,12,105,42,102,41,13,5,250,505.6,49.3,223
"Stoughton",2019,4,"Grade 4","02850000","MATH",128,51,13,5,115,46,104,41,19,8,251,500.1,39.3,226
"Sturbridge",2019,4,"Grade 4","02870000","ELA",73,63,4,3,69,59,39,34,4,3,116,504.5,50.3,109
"Sturbridge",2019,4,"Grade 4","02870000","MATH",85,73,13,11,72,62,26,22,5,4,116,511.3,62.1,109
"Sudbury",2019,4,"Grade 4","02880000","ELA",212,75,54,19,158,56,60,21,12,4,284,513.7,62.4,273
"Sudbury",2019,4,"Grade 4","02880000","MATH",212,75,56,20,156,55,57,20,15,5,284,512.6,52.7,273
"Sunderland",2019,4,"Grade 4","02890000","ELA",10,56,0,0,10,56,7,39,1,6,18,501.1,NA,16
"Sunderland",2019,4,"Grade 4","02890000","MATH",4,22,1,6,3,17,13,72,1,6,18,490.4,NA,16
"Sutton",2019,4,"Grade 4","02900000","ELA",62,58,7,7,55,52,40,38,4,4,106,504.6,51,102
"Sutton",2019,4,"Grade 4","02900000","MATH",51,48,7,7,44,42,47,44,8,8,106,500.4,49.1,102
"Swampscott",2019,4,"Grade 4","02910000","ELA",104,69,29,19,75,50,36,24,10,7,150,509.6,50.7,141
"Swampscott",2019,4,"Grade 4","02910000","MATH",77,51,11,7,66,44,62,41,11,7,150,502.5,42.3,141
"Swansea",2019,4,"Grade 4","02920000","ELA",94,56,17,10,77,46,67,40,6,4,167,504,45.8,157
"Swansea",2019,4,"Grade 4","02920000","MATH",88,53,8,5,80,48,67,40,12,7,167,499.4,54.8,157
"TEC Connections Academy Commonwealth Virtual School District",2019,4,"Grade 4","39020000","ELA",28,44,5,8,23,37,26,41,9,14,63,496.8,42.7,39
"TEC Connections Academy Commonwealth Virtual School District",2019,4,"Grade 4","39020000","MATH",16,25,0,0,16,25,27,42,21,33,64,481.4,37.7,40
"Taunton",2019,4,"Grade 4","02930000","ELA",252,38,41,6,211,32,327,50,77,12,656,496.2,43.2,595
"Taunton",2019,4,"Grade 4","02930000","MATH",275,42,39,6,236,36,277,42,103,16,655,494.7,49.4,594
"Tewksbury",2019,4,"Grade 4","02950000","ELA",172,68,23,9,149,59,73,29,7,3,252,507.5,49.9,246
"Tewksbury",2019,4,"Grade 4","02950000","MATH",154,61,16,6,138,55,85,34,12,5,251,504,42.4,245
"Tisbury",2019,4,"Grade 4","02960000","ELA",11,44,2,8,9,36,13,52,1,4,25,500.6,32.9,22
"Tisbury",2019,4,"Grade 4","02960000","MATH",12,48,3,12,9,36,12,48,1,4,25,505.5,36.4,22
"Topsfield",2019,4,"Grade 4","02980000","ELA",53,58,7,8,46,50,36,39,3,3,92,503.4,38.4,90
"Topsfield",2019,4,"Grade 4","02980000","MATH",55,60,7,8,48,52,33,36,4,4,92,504.6,55.5,89
"Triton",2019,4,"Grade 4","07730000","ELA",104,55,11,6,93,49,72,38,14,7,190,501.2,58.2,184
"Triton",2019,4,"Grade 4","07730000","MATH",88,47,16,8,72,38,78,41,23,12,189,497.6,60.3,186
"Truro",2019,4,"Grade 4","03000000","ELA",5,38,1,8,4,31,8,62,0,0,13,499.1,NA,12
"Truro",2019,4,"Grade 4","03000000","MATH",6,46,1,8,5,38,5,38,2,15,13,495.1,NA,12
"Tyngsborough",2019,4,"Grade 4","03010000","ELA",88,76,31,27,57,49,26,22,2,2,116,514.9,62.5,110
"Tyngsborough",2019,4,"Grade 4","03010000","MATH",80,69,9,8,71,61,31,27,5,4,116,506,55.3,111
"UP Academy Charter School of Dorchester (District)",2019,4,"Grade 4","35050000","ELA",21,28,0,0,21,28,39,53,14,19,74,489.1,44.7,72
"UP Academy Charter School of Dorchester (District)",2019,4,"Grade 4","35050000","MATH",25,34,2,3,23,31,41,55,8,11,74,490.9,55.6,72
"Up-Island Regional",2019,4,"Grade 4","07740000","ELA",28,60,2,4,26,55,15,32,4,9,47,502.6,45.3,42
"Up-Island Regional",2019,4,"Grade 4","07740000","MATH",30,64,3,6,27,57,16,34,1,2,47,505.5,58.2,42
"Uxbridge",2019,4,"Grade 4","03040000","ELA",69,53,7,5,62,48,48,37,13,10,130,500.5,44.8,121
"Uxbridge",2019,4,"Grade 4","03040000","MATH",74,57,15,12,59,45,49,38,7,5,130,503.5,60,121
"Wachusett",2019,4,"Grade 4","07750000","ELA",340,64,67,13,273,51,172,32,22,4,534,507.7,53.5,496
"Wachusett",2019,4,"Grade 4","07750000","MATH",325,61,46,9,279,52,184,34,27,5,536,504.6,48.6,497
"Wakefield",2019,4,"Grade 4","03050000","ELA",159,60,25,9,134,50,99,37,9,3,267,505.4,51.6,258
"Wakefield",2019,4,"Grade 4","03050000","MATH",151,57,24,9,127,48,101,38,15,6,267,503.6,48.1,259
"Wales",2019,4,"Grade 4","03060000","ELA",9,56,0,0,9,56,7,44,0,0,16,503.4,NA,15
"Wales",2019,4,"Grade 4","03060000","MATH",7,44,1,6,6,38,8,50,1,6,16,501,NA,15
"Walpole",2019,4,"Grade 4","03070000","ELA",184,66,47,17,137,49,84,30,10,4,278,509.5,54.7,265
"Walpole",2019,4,"Grade 4","03070000","MATH",182,65,40,14,142,51,83,30,13,5,278,508.3,53.4,265
"Waltham",2019,4,"Grade 4","03080000","ELA",192,48,21,5,171,43,166,42,40,10,398,499.7,51.7,363
"Waltham",2019,4,"Grade 4","03080000","MATH",222,56,34,9,188,47,132,33,45,11,399,500.9,56.6,362
"Ware",2019,4,"Grade 4","03090000","ELA",39,38,2,2,37,36,48,47,16,16,103,495,49.4,95
"Ware",2019,4,"Grade 4","03090000","MATH",32,31,0,0,32,31,46,44,26,25,104,487,55.9,95
"Wareham",2019,4,"Grade 4","03100000","ELA",42,22,2,1,40,21,117,62,29,15,188,489.3,40.2,171
"Wareham",2019,4,"Grade 4","03100000","MATH",44,23,1,1,43,23,105,56,39,21,188,489.3,47.3,171
"Watertown",2019,4,"Grade 4","03140000","ELA",104,53,23,12,81,41,73,37,19,10,196,502.3,55.6,184
"Watertown",2019,4,"Grade 4","03140000","MATH",113,58,19,10,94,48,61,31,22,11,196,502.2,69.7,186
"Wayland",2019,4,"Grade 4","03150000","ELA",149,79,35,19,114,61,37,20,2,1,188,513.2,57.6,185
"Wayland",2019,4,"Grade 4","03150000","MATH",147,78,46,24,101,54,38,20,3,2,188,515.1,59.6,185
"Webster",2019,4,"Grade 4","03160000","ELA",53,35,5,3,48,32,77,51,22,14,152,492.9,34.5,143
"Webster",2019,4,"Grade 4","03160000","MATH",50,33,6,4,44,29,73,48,29,19,152,489.1,48.3,143
"Wellesley",2019,4,"Grade 4","03170000","ELA",308,82,120,32,188,50,57,15,10,3,375,520.5,65,355
"Wellesley",2019,4,"Grade 4","03170000","MATH",289,77,77,21,212,57,73,19,13,3,375,515.2,58.4,353
"Wellfleet",2019,4,"Grade 4","03180000","ELA",11,79,2,14,9,64,3,21,0,0,14,510.4,NA,13
"Wellfleet",2019,4,"Grade 4","03180000","MATH",13,93,0,0,13,93,1,7,0,0,14,512.9,NA,13
"West Boylston",2019,4,"Grade 4","03220000","ELA",37,62,4,7,33,55,20,33,3,5,60,505.6,57.4,58
"West Boylston",2019,4,"Grade 4","03220000","MATH",29,49,1,2,28,47,25,42,5,8,59,500.5,41.8,57
"West Bridgewater",2019,4,"Grade 4","03230000","ELA",38,45,1,1,37,44,40,47,7,8,85,498.2,33.5,82
"West Bridgewater",2019,4,"Grade 4","03230000","MATH",35,41,3,4,32,38,45,53,5,6,85,497.9,31.9,82
"West Springfield",2019,4,"Grade 4","03320000","ELA",145,44,12,4,133,40,149,45,36,11,330,497.1,47.1,303
"West Springfield",2019,4,"Grade 4","03320000","MATH",153,47,21,6,132,40,140,43,36,11,329,498.1,53.3,302
"Westborough",2019,4,"Grade 4","03210000","ELA",194,68,31,11,163,57,76,27,15,5,285,508.3,52.1,249
"Westborough",2019,4,"Grade 4","03210000","MATH",194,68,56,20,138,48,77,27,16,6,287,510.2,48.7,253
"Westfield",2019,4,"Grade 4","03250000","ELA",173,49,17,5,156,44,146,42,32,9,351,499.4,47.1,325
"Westfield",2019,4,"Grade 4","03250000","MATH",166,47,23,7,143,41,140,40,45,13,351,497,45.7,325
"Westford",2019,4,"Grade 4","03260000","ELA",276,73,52,14,224,59,96,25,8,2,380,510.4,53.4,360
"Westford",2019,4,"Grade 4","03260000","MATH",298,79,83,22,215,57,74,20,7,2,379,515.5,64,359
"Westhampton",2019,4,"Grade 4","03270000","ELA",15,75,1,5,14,70,5,25,0,0,20,510.3,65,20
"Westhampton",2019,4,"Grade 4","03270000","MATH",15,75,3,15,12,60,5,25,0,0,20,513.4,59.6,20
"Weston",2019,4,"Grade 4","03300000","ELA",122,81,59,39,63,42,24,16,4,3,150,522.6,62.7,142
"Weston",2019,4,"Grade 4","03300000","MATH",119,79,49,33,70,47,26,17,5,3,150,519.5,67.7,142
"Westport",2019,4,"Grade 4","03310000","ELA",69,54,5,4,64,50,54,42,5,4,128,502.3,44.9,121
"Westport",2019,4,"Grade 4","03310000","MATH",49,39,5,4,44,35,71,56,7,6,127,496.5,41.1,120
"Westwood",2019,4,"Grade 4","03350000","ELA",191,81,56,24,135,57,44,19,1,0,236,517.5,62.8,230
"Westwood",2019,4,"Grade 4","03350000","MATH",196,83,44,19,152,65,36,15,3,1,235,514.7,62.1,229
"Weymouth",2019,4,"Grade 4","03360000","ELA",255,58,40,9,215,49,170,38,17,4,442,504.7,50.9,408
"Weymouth",2019,4,"Grade 4","03360000","MATH",210,48,32,7,178,40,197,45,34,8,441,499.4,51.2,407
"Whately",2019,4,"Grade 4","03370000","ELA",8,50,0,0,8,50,7,44,1,6,16,499.6,NA,16
"Whately",2019,4,"Grade 4","03370000","MATH",12,75,2,13,10,63,2,13,2,13,16,507.4,NA,16
"Whitman-Hanson",2019,4,"Grade 4","07800000","ELA",157,57,25,9,132,48,107,39,10,4,274,505.2,52.3,263
"Whitman-Hanson",2019,4,"Grade 4","07800000","MATH",152,55,13,5,139,51,107,39,15,5,274,501,56,263
"Williamsburg",2019,4,"Grade 4","03400000","ELA",13,59,2,9,11,50,7,32,2,9,22,504.8,NA,19
"Williamsburg",2019,4,"Grade 4","03400000","MATH",16,73,4,18,12,55,5,23,1,5,22,512.2,NA,19
"Wilmington",2019,4,"Grade 4","03420000","ELA",131,62,13,6,118,56,71,34,9,4,211,505.5,50.3,202
"Wilmington",2019,4,"Grade 4","03420000","MATH",144,68,20,9,124,59,60,28,7,3,211,506.8,58.6,204
"Winchendon",2019,4,"Grade 4","03430000","ELA",29,35,2,2,27,33,39,47,15,18,83,489.8,34.9,75
"Winchendon",2019,4,"Grade 4","03430000","MATH",25,30,0,0,25,30,42,51,16,19,83,488.3,44.4,75
"Winchester",2019,4,"Grade 4","03440000","ELA",282,79,82,23,200,56,68,19,6,2,356,516.1,60.5,342
"Winchester",2019,4,"Grade 4","03440000","MATH",281,79,91,26,190,54,63,18,11,3,355,516.1,57.9,342
"Winthrop",2019,4,"Grade 4","03460000","ELA",78,53,6,4,72,49,58,40,10,7,146,502.1,43,134
"Winthrop",2019,4,"Grade 4","03460000","MATH",76,52,8,5,68,47,57,39,13,9,146,499.8,51.2,135
"Woburn",2019,4,"Grade 4","03470000","ELA",196,58,22,6,174,51,123,36,21,6,340,504.6,47.3,313
"Woburn",2019,4,"Grade 4","03470000","MATH",152,45,11,3,141,41,151,44,37,11,340,497.6,36.9,313
"Worcester",2019,4,"Grade 4","03480000","ELA",696,37,81,4,615,33,849,45,331,18,NA,493.6,46.5,NA
"Worcester",2019,4,"Grade 4","03480000","MATH",593,32,57,3,536,29,844,45,440,23,NA,488.8,45.6,NA
"Wrentham",2019,4,"Grade 4","03500000","ELA",95,73,29,22,66,50,29,22,7,5,131,514.7,59.8,126
"Wrentham",2019,4,"Grade 4","03500000","MATH",76,58,11,8,65,50,47,36,8,6,131,504.6,41.9,126
"State",2019,4,"Grade 4","00000000","ELA",NA,52,NA,9,NA,43,NA,39,NA,9,NA,501.8,49.7,NA
"State",2019,4,"Grade 4","00000000","MATH",NA,50,NA,8,NA,41,NA,39,NA,12,NA,499.2,49.8,NA
"Abby Kelley Foster Charter Public (District)",2019,5,"Grade 5","04450000","ELA",54,46,3,3,51,43,56,47,8,7,118,496.3,45.3,116
"Abby Kelley Foster Charter Public (District)",2019,5,"Grade 5","04450000","MATH",39,33,0,0,39,33,68,58,11,9,118,492,43.9,116
"Abby Kelley Foster Charter Public (District)",2019,5,"Grade 5","04450000","SCI",28,24,1,1,27,23,75,64,15,13,118,488.3,NA,NA
"Abington",2019,5,"Grade 5","00010000","ELA",79,49,7,4,72,45,67,42,14,9,160,499.2,48.2,152
"Abington",2019,5,"Grade 5","00010000","MATH",57,36,2,1,55,34,84,53,19,12,160,493.5,48.7,152
"Abington",2019,5,"Grade 5","00010000","SCI",68,43,4,3,64,40,72,45,20,13,160,495.1,NA,NA
"Academy Of the Pacific Rim Charter Public (District)",2019,5,"Grade 5","04120000","ELA",30,38,3,4,27,34,43,54,7,9,80,496.8,54.7,62
"Academy Of the Pacific Rim Charter Public (District)",2019,5,"Grade 5","04120000","MATH",27,34,2,3,25,31,45,56,8,10,80,489.7,42.5,62
"Academy Of the Pacific Rim Charter Public (District)",2019,5,"Grade 5","04120000","SCI",28,35,3,4,25,32,40,51,11,14,79,491.7,NA,NA
"Acton-Boxborough",2019,5,"Grade 5","06000000","ELA",289,67,53,12,236,55,125,29,15,3,429,509.3,51.5,407
"Acton-Boxborough",2019,5,"Grade 5","06000000","MATH",274,64,56,13,218,51,134,31,20,5,428,507.8,58.4,408
"Acton-Boxborough",2019,5,"Grade 5","06000000","SCI",276,64,68,16,208,49,131,31,21,5,428,508.7,NA,NA
"Acushnet",2019,5,"Grade 5","00030000","ELA",51,50,0,0,51,50,48,47,3,3,102,501.4,42.5,99
"Acushnet",2019,5,"Grade 5","00030000","MATH",54,53,6,6,48,47,45,44,3,3,102,502,53.6,99
"Acushnet",2019,5,"Grade 5","00030000","SCI",52,51,8,8,44,43,43,42,7,7,102,502.4,NA,NA
"Agawam",2019,5,"Grade 5","00050000","ELA",144,46,9,3,135,43,143,45,28,9,315,498.3,43.9,304
"Agawam",2019,5,"Grade 5","00050000","MATH",150,47,7,2,143,45,145,46,21,7,316,498.3,40.7,304
